,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,Anomaly,Anomaly_Score,deposit
3894,40,technician,3652,yes,no,unknown,may,2,-1,unknown,0,-0.06827367,1
1681,35,management,771,yes,yes,cellular,aug,5,-1,unknown,0,-0.057528414,0
4954,58,management,0,no,no,unknown,jun,4,-1,unknown,0,-0.050130382,0
7728,33,management,644,yes,yes,cellular,feb,2,271,failure,0,-0.004072504,0
86,60,retired,2060,no,no,cellular,jun,4,95,failure,0,-0.006697056,0
4998,53,management,232,yes,no,telephone,jan,1,-1,unknown,0,-0.013640383,0
1089,36,management,909,yes,yes,cellular,jul,3,-1,unknown,0,-0.06789132,0
4100,31,services,-205,no,no,cellular,sep,1,579,failure,0,-0.008863316,1
1258,73,retired,508,no,no,cellular,mar,1,-1,unknown,0,-0.0627632,1
3174,36,technician,0,yes,no,cellular,jul,5,-1,unknown,0,-0.09026836,0
850,28,management,1808,no,no,cellular,apr,1,-1,unknown,0,-0.09814618,1
3528,48,self-employed,0,no,no,unknown,jun,1,-1,unknown,0,-0.04251622,0
4236,49,entrepreneur,-1965,no,yes,telephone,jul,2,-1,unknown,0,-0.0107134115,0
6618,37,admin,1110,yes,no,telephone,jul,11,-1,unknown,0,-0.0205958,1
1932,34,services,544,yes,no,unknown,may,2,-1,unknown,0,-0.087293856,0
4300,38,blue-collar,495,yes,no,unknown,may,1,-1,unknown,0,-0.095960386,0
232,28,self-employed,123,no,yes,telephone,oct,1,-1,unknown,1,0.003662679,1
3361,29,technician,615,yes,no,cellular,may,1,-1,unknown,0,-0.09797361,1
1075,31,technician,2744,yes,no,cellular,aug,2,-1,unknown,0,-0.0827208,0
6917,44,technician,2857,no,no,cellular,aug,2,-1,unknown,0,-0.09801236,0
6705,42,technician,9324,no,no,cellular,aug,4,-1,unknown,0,-0.07732041,0
2040,38,blue-collar,-56,yes,yes,unknown,jun,2,-1,unknown,0,-0.022191955,0
7564,36,blue-collar,1177,no,no,cellular,apr,1,311,success,0,-0.038387954,1
102,33,blue-collar,15341,no,no,cellular,apr,1,334,failure,0,-0.011546029,0
34,42,management,742,yes,no,unknown,may,3,-1,unknown,0,-0.08720481,0
5115,33,management,7084,no,no,cellular,aug,8,-1,unknown,0,-0.07560856,1
1300,33,management,349,no,no,cellular,aug,1,-1,unknown,0,-0.10649527,0
1703,56,housemaid,61,no,no,cellular,jun,1,-1,unknown,0,-0.06907099,0
2748,38,management,1199,no,no,cellular,aug,1,-1,unknown,0,-0.10470739,1
2137,41,technician,128,yes,no,cellular,aug,2,-1,unknown,0,-0.09145867,0
4452,37,management,62,yes,no,cellular,aug,2,272,success,0,-0.033848636,1
2867,66,retired,780,no,no,cellular,feb,4,-1,unknown,0,-0.0767588,0
3143,29,services,1386,yes,no,unknown,may,1,-1,unknown,0,-0.084846556,0
5794,42,admin,1547,yes,yes,unknown,may,3,-1,unknown,0,-0.05775291,0
6069,30,blue-collar,201,yes,no,cellular,aug,1,157,failure,0,-0.03081353,1
2388,48,technician,23495,no,no,cellular,aug,8,-1,unknown,0,-0.047394842,0
7348,31,services,181,no,no,cellular,apr,1,-1,unknown,0,-0.082873605,1
7118,43,blue-collar,56,no,no,cellular,may,2,-1,unknown,0,-0.10281561,0
7516,37,blue-collar,461,yes,no,unknown,may,2,-1,unknown,0,-0.09555373,0
5726,29,technician,18,no,no,cellular,feb,3,-1,unknown,0,-0.10159987,0
3291,54,management,24,no,no,cellular,jul,10,-1,unknown,0,-0.08036748,0
6719,22,student,1232,no,no,cellular,jul,1,430,other,1,0.025533466,1
2464,43,self-employed,66,yes,no,unknown,may,5,-1,unknown,0,-0.04794629,0
2330,30,management,2995,yes,no,cellular,nov,1,-1,unknown,0,-0.08456507,0
4710,58,admin,145,yes,no,telephone,jul,13,-1,unknown,0,-0.014736028,1
4178,56,blue-collar,-1,no,no,cellular,jul,3,-1,unknown,0,-0.078502685,0
5521,72,retired,0,no,no,telephone,aug,1,-1,unknown,0,-0.017120983,0
2224,27,student,91,no,no,telephone,dec,6,95,other,1,0.07697102,0
7185,36,management,-633,yes,no,cellular,jul,1,-1,unknown,0,-0.09490877,0
5373,43,management,-410,no,yes,cellular,jul,1,-1,unknown,0,-0.074792266,0
4096,26,unemployed,461,no,no,cellular,jan,1,-1,unknown,0,-0.06326848,0
3516,29,technician,5763,no,yes,cellular,jun,2,92,success,0,-0.0132970475,0
2151,41,technician,2490,yes,no,unknown,may,2,-1,unknown,0,-0.08263406,0
4656,60,management,13546,no,no,cellular,apr,3,-1,unknown,0,-0.05614846,1
168,53,technician,100,no,no,cellular,aug,4,-1,unknown,0,-0.09865305,0
943,52,unemployed,1639,no,no,cellular,aug,1,-1,unknown,0,-0.07459285,0
1080,58,entrepreneur,496,no,no,cellular,apr,1,-1,unknown,0,-0.07120843,1
383,70,retired,275,no,no,cellular,apr,1,-1,unknown,0,-0.0770834,1
3646,43,blue-collar,699,yes,yes,cellular,nov,2,122,other,1,0.0119518405,1
2740,39,housemaid,1444,no,no,telephone,jul,8,-1,unknown,0,-0.020868503,1
1318,58,unemployed,2094,no,no,cellular,jun,2,-1,unknown,0,-0.057910755,0
7418,56,retired,63,no,no,cellular,aug,2,-1,unknown,0,-0.08242952,0
4040,85,retired,7613,no,no,cellular,feb,3,-1,unknown,0,-0.06484824,1
4689,43,blue-collar,515,yes,no,cellular,nov,1,-1,unknown,0,-0.080334514,0
920,19,student,60,no,no,cellular,aug,1,-1,unknown,0,-0.061031193,0
4411,36,blue-collar,324,yes,yes,cellular,jul,1,-1,unknown,0,-0.053622667,1
4116,48,blue-collar,1730,yes,no,cellular,feb,1,178,failure,0,-0.045295667,1
7105,46,technician,190,yes,no,cellular,aug,2,-1,unknown,0,-0.0900928,0
7585,48,admin,292,yes,yes,cellular,jul,6,-1,unknown,0,-0.053223055,0
5997,45,entrepreneur,20138,yes,no,cellular,nov,5,-1,unknown,0,-0.027474534,1
6044,31,technician,2544,no,no,cellular,jul,1,184,success,0,-0.04409987,1
5405,57,admin,2223,no,no,cellular,aug,1,-1,unknown,0,-0.09249088,1
726,29,management,1808,no,no,cellular,jul,2,433,success,0,-0.0153261535,1
3300,64,retired,466,yes,no,cellular,oct,1,-1,unknown,0,-0.04163704,1
4976,55,services,2476,yes,no,unknown,may,1,-1,unknown,0,-0.058159057,1
965,44,management,2982,no,no,unknown,jun,2,-1,unknown,0,-0.06477732,0
7260,30,technician,418,yes,no,unknown,jun,1,-1,unknown,0,-0.06435717,0
1954,32,management,3,yes,no,cellular,may,1,-1,unknown,0,-0.0985661,1
6061,30,technician,178,no,no,cellular,jul,3,-1,unknown,0,-0.096951865,1
2148,31,student,46,yes,no,cellular,jul,1,-1,unknown,0,-0.062852085,1
4497,31,services,1626,no,no,unknown,jul,1,-1,unknown,0,-0.0378709,0
4029,31,technician,0,yes,yes,unknown,may,2,-1,unknown,0,-0.05415433,0
977,37,management,2283,no,no,cellular,may,2,98,failure,0,-0.0556567,1
7330,60,retired,523,no,no,cellular,feb,1,182,success,0,-0.050172534,1
5084,45,admin,375,no,yes,unknown,sep,1,594,failure,1,0.057628766,0
4402,31,management,3160,yes,no,cellular,apr,2,-1,unknown,0,-0.088879414,1
7667,47,blue-collar,820,no,no,cellular,jan,1,91,success,0,-0.04162404,1
4449,42,self-employed,3717,no,no,unknown,jun,1,-1,unknown,0,-0.041048467,0
421,46,blue-collar,993,yes,no,unknown,jun,1,-1,unknown,0,-0.052112687,0
4432,27,blue-collar,535,no,no,cellular,may,1,87,success,0,-0.059797518,1
1365,26,blue-collar,-84,yes,yes,cellular,jul,5,-1,unknown,0,-0.042751294,0
1496,29,blue-collar,104,yes,no,cellular,may,4,-1,unknown,0,-0.09510268,1
1470,33,technician,0,no,no,cellular,aug,2,-1,unknown,0,-0.102572225,0
6533,54,technician,3994,no,yes,cellular,oct,2,187,success,0,-0.006595053,1
5262,51,blue-collar,-637,yes,yes,cellular,nov,2,-1,unknown,0,-0.043332934,0
2771,24,blue-collar,272,no,no,cellular,nov,2,94,success,0,-0.028858434,1
1647,36,management,2944,no,no,cellular,aug,8,-1,unknown,0,-0.08894556,1
2083,30,blue-collar,0,yes,yes,cellular,jul,1,-1,unknown,0,-0.055083208,1
4924,48,services,1355,no,no,cellular,aug,7,-1,unknown,0,-0.080243826,0
2862,48,entrepreneur,104,yes,yes,cellular,nov,1,-1,unknown,0,-0.044811517,0
5990,59,technician,2595,yes,no,cellular,aug,2,-1,unknown,0,-0.07639138,0
6854,40,admin,0,yes,no,cellular,feb,1,201,failure,0,-0.04263382,0
80,39,technician,8,no,yes,cellular,nov,2,96,failure,0,-0.0014003703,0
6936,32,management,937,no,no,cellular,aug,1,94,failure,0,-0.0544307,0
1394,30,admin,377,yes,no,unknown,jun,15,-1,unknown,0,-0.021201624,1
5675,61,self-employed,52587,no,no,cellular,feb,3,189,success,1,0.019778471,1
1968,41,blue-collar,219,no,yes,unknown,jun,3,-1,unknown,0,-0.015725682,1
1474,40,blue-collar,100,yes,no,unknown,may,2,-1,unknown,0,-0.09581875,0
7061,36,blue-collar,222,yes,no,unknown,may,1,-1,unknown,0,-0.096120365,0
1056,46,management,10,yes,no,cellular,jul,7,-1,unknown,0,-0.082364954,0
3402,53,technician,395,no,no,cellular,oct,1,148,failure,0,-0.03648219,1
5484,48,management,-244,yes,no,unknown,may,1,-1,unknown,0,-0.083114356,0
5492,47,technician,0,yes,no,cellular,may,1,-1,unknown,0,-0.09758449,0
6300,31,blue-collar,605,yes,no,unknown,may,10,-1,unknown,0,-0.06924166,0
5333,59,entrepreneur,222,no,no,cellular,nov,1,-1,unknown,0,-0.05522988,0
459,38,blue-collar,1401,no,no,cellular,may,1,-1,unknown,0,-0.10415097,1
3186,56,admin,2087,yes,no,unknown,may,1,-1,unknown,0,-0.081121154,0
736,36,unemployed,4145,no,no,unknown,jun,4,-1,unknown,0,-0.033119734,1
425,43,admin,733,yes,no,cellular,may,1,187,success,0,-0.057268377,1
358,31,admin,554,yes,no,cellular,feb,1,-1,unknown,0,-0.095087975,0
7480,41,management,456,yes,no,cellular,aug,4,-1,unknown,0,-0.09336435,1
1976,39,management,13578,yes,no,cellular,nov,2,-1,unknown,0,-0.06799752,0
4170,55,admin,139,no,no,cellular,apr,1,-1,unknown,0,-0.090140596,1
7301,57,blue-collar,3196,no,no,cellular,aug,4,-1,unknown,0,-0.07838966,0
4824,70,retired,482,no,no,telephone,jan,1,196,success,1,0.034554433,1
4154,38,management,427,yes,no,cellular,may,3,169,failure,0,-0.044089504,0
6898,34,housemaid,87,yes,no,unknown,may,2,-1,unknown,0,-0.08708947,0
7084,51,blue-collar,2095,yes,yes,cellular,feb,4,-1,unknown,0,-0.045579053,0
3221,41,self-employed,0,yes,no,cellular,nov,1,-1,unknown,0,-0.05511924,1
1885,46,unemployed,44,no,no,cellular,aug,1,-1,unknown,0,-0.07449328,1
2735,25,services,895,yes,no,unknown,jun,1,-1,unknown,0,-0.04579687,0
6765,33,management,322,yes,no,cellular,apr,3,-1,unknown,0,-0.08654991,0
778,36,technician,125,yes,no,cellular,may,3,-1,unknown,0,-0.09777806,1
179,38,technician,318,no,no,cellular,aug,1,182,success,0,-0.047954734,1
4718,66,retired,2540,no,no,telephone,dec,2,156,other,1,0.052422576,1
4522,38,admin,19,yes,no,unknown,may,2,-1,unknown,0,-0.080578946,1
2534,65,unemployed,3195,no,no,telephone,mar,1,-1,unknown,0,-0.013143663,1
4332,44,unemployed,-4,no,yes,cellular,jul,2,-1,unknown,0,-0.05963098,1
6025,28,student,67,no,no,cellular,aug,3,199,other,1,0.017911,1
799,49,blue-collar,361,yes,no,unknown,jun,2,-1,unknown,0,-0.03876426,1
1478,35,management,0,no,yes,cellular,aug,4,-1,unknown,0,-0.06881783,0
4120,36,technician,0,no,no,unknown,jul,1,-1,unknown,0,-0.04786426,1
518,47,entrepreneur,0,no,no,cellular,feb,2,-1,unknown,0,-0.08196082,1
6414,51,unemployed,1801,no,no,cellular,apr,3,-1,unknown,0,-0.06929404,1
3729,30,management,3473,no,no,cellular,mar,2,-1,unknown,0,-0.0788813,1
4833,49,technician,12531,no,no,cellular,aug,8,-1,unknown,0,-0.06030097,0
4612,36,management,62,yes,no,cellular,nov,1,182,failure,0,-0.037942078,1
4252,30,services,1649,yes,no,unknown,may,1,-1,unknown,0,-0.083596,0
2085,36,admin,592,no,no,cellular,oct,2,99,failure,0,-0.035136256,1
5416,31,technician,208,no,no,cellular,aug,7,-1,unknown,0,-0.08513418,1
4770,56,retired,158,no,yes,cellular,jul,1,-1,unknown,0,-0.06307698,1
4213,31,technician,253,no,no,cellular,jan,1,-1,unknown,0,-0.08542023,0
1747,31,blue-collar,-454,yes,yes,unknown,may,2,-1,unknown,0,-0.05575283,0
5530,34,management,-311,yes,no,unknown,may,2,-1,unknown,0,-0.0815852,0
7735,40,admin,764,yes,no,unknown,nov,1,-1,unknown,0,-0.039071936,1
849,39,management,517,yes,yes,unknown,may,1,-1,unknown,0,-0.045888927,1
5107,42,technician,11115,no,no,cellular,aug,1,102,success,0,-0.034283627,1
1662,45,blue-collar,0,no,no,cellular,aug,2,472,success,0,-0.0034017514,1
3530,42,housemaid,4279,yes,no,cellular,jul,1,-1,unknown,0,-0.06850431,0
1899,25,self-employed,42,yes,no,cellular,mar,1,-1,unknown,0,-0.040109538,1
2838,32,management,128,yes,no,cellular,jul,3,-1,unknown,0,-0.09413356,0
3445,48,technician,606,yes,no,cellular,aug,4,-1,unknown,0,-0.08373601,0
3578,37,management,1449,no,no,unknown,jun,1,-1,unknown,0,-0.062743634,0
7006,32,technician,654,yes,no,cellular,may,4,-1,unknown,0,-0.09478558,1
5252,25,technician,4718,no,no,cellular,jul,1,-1,unknown,0,-0.089343324,1
7765,74,retired,1843,no,no,cellular,mar,1,185,success,0,-0.022229902,1
3678,25,admin,483,no,yes,cellular,apr,1,86,success,0,-0.0016927716,0
4307,45,admin,524,yes,no,cellular,jul,1,-1,unknown,0,-0.09588232,1
4637,47,retired,3033,no,no,cellular,sep,1,-1,unknown,0,-0.081421174,1
4133,38,management,327,yes,yes,cellular,jul,5,-1,unknown,0,-0.06453324,1
568,43,services,192,yes,yes,unknown,may,2,-1,unknown,0,-0.05467201,0
1534,41,blue-collar,4910,yes,no,cellular,apr,1,-1,unknown,0,-0.06864132,0
1754,50,blue-collar,203,yes,no,telephone,nov,1,127,other,1,0.03886299,0
6337,33,management,6807,no,no,cellular,oct,2,184,success,0,-0.039159816,1
4596,78,retired,1204,no,no,telephone,nov,1,-1,unknown,0,-0.009177542,1
5321,34,management,73,no,no,cellular,feb,2,-1,unknown,0,-0.09833761,1
3393,42,management,36,no,no,cellular,nov,3,-1,unknown,0,-0.08920977,1
2449,56,management,7747,no,no,unknown,jun,2,-1,unknown,0,-0.045690835,0
6609,35,entrepreneur,80,no,no,cellular,aug,5,-1,unknown,0,-0.078891784,0
4508,52,admin,361,no,yes,cellular,nov,1,-1,unknown,0,-0.0564277,0
4256,28,management,1720,no,no,cellular,sep,1,91,success,0,-0.039932653,1
4829,42,technician,1812,yes,no,cellular,jul,2,-1,unknown,0,-0.08981632,0
2463,30,self-employed,3343,no,no,cellular,jun,1,-1,unknown,0,-0.07447555,1
4970,39,admin,1577,yes,no,unknown,jun,15,-1,unknown,0,-0.030790806,0
5640,31,technician,14533,no,no,cellular,jun,2,-1,unknown,0,-0.07019473,1
1289,36,technician,-393,no,no,telephone,aug,4,-1,unknown,0,-0.040857185,0
2960,25,blue-collar,292,yes,yes,cellular,may,2,-1,unknown,0,-0.061715502,1
6868,33,blue-collar,706,yes,no,cellular,apr,1,322,failure,0,-0.035837825,0
5431,53,self-employed,20,yes,no,cellular,aug,2,-1,unknown,0,-0.068837434,0
1105,54,technician,198,yes,yes,cellular,nov,1,171,failure,1,0.005891993,0
5130,80,retired,1610,no,no,cellular,aug,1,-1,unknown,0,-0.07446921,0
6253,32,self-employed,1249,yes,no,cellular,nov,1,-1,unknown,0,-0.05275761,1
6169,45,management,2813,yes,no,cellular,may,1,-1,unknown,0,-0.10042821,0
4687,54,housemaid,212,no,no,cellular,aug,4,-1,unknown,0,-0.076101206,0
2956,33,admin,920,no,no,cellular,nov,1,95,failure,0,-0.03526802,1
3840,44,housemaid,1059,no,no,unknown,jun,1,-1,unknown,0,-0.045236368,1
7277,36,admin,162,yes,yes,cellular,apr,2,-1,unknown,0,-0.05292321,0
3548,82,retired,8603,no,no,cellular,jul,1,-1,unknown,0,-0.06645838,1
6751,43,admin,733,yes,no,cellular,aug,1,88,success,0,-0.031691033,1
7536,51,management,0,no,no,unknown,jun,1,-1,unknown,0,-0.050081268,1
3638,39,management,4314,yes,no,cellular,nov,4,-1,unknown,0,-0.08000349,0
1492,57,services,-752,yes,no,unknown,may,1,-1,unknown,0,-0.06742802,0
904,39,blue-collar,1170,no,no,unknown,jun,1,-1,unknown,0,-0.059484378,0
6304,39,management,1425,yes,no,cellular,may,3,-1,unknown,0,-0.10012633,1
2676,42,technician,1189,no,no,unknown,jun,3,-1,unknown,0,-0.07498456,0
1948,54,management,2895,yes,no,cellular,feb,2,256,failure,0,-0.029348945,0
2814,34,services,-30,no,no,cellular,jul,3,-1,unknown,0,-0.091831304,1
6972,39,housemaid,2460,no,no,cellular,jul,3,-1,unknown,0,-0.06947268,0
3227,45,blue-collar,61,yes,no,unknown,may,4,-1,unknown,0,-0.07769747,1
6536,25,admin,507,yes,no,cellular,may,1,367,failure,0,-0.03591103,1
2008,41,blue-collar,449,yes,no,cellular,apr,6,-1,unknown,0,-0.070322946,0
6990,83,retired,1097,no,no,telephone,mar,1,-1,unknown,0,-0.004254071,1
6815,37,services,981,no,no,cellular,jul,2,386,success,0,-0.023379494,1
1348,45,retired,86,no,no,cellular,nov,5,-1,unknown,0,-0.07006704,0
1203,35,blue-collar,257,yes,no,cellular,may,1,-1,unknown,0,-0.101407565,0
5796,38,self-employed,0,yes,no,cellular,apr,1,-1,unknown,0,-0.07119716,0
4253,35,management,80,no,no,cellular,sep,2,94,other,0,-0.035297815,1
2875,32,technician,1855,no,no,cellular,sep,2,134,other,0,-0.04022469,1
4202,31,student,0,no,no,cellular,sep,1,-1,unknown,0,-0.050708186,0
103,45,unknown,356,no,no,cellular,aug,2,-1,unknown,0,-0.07560274,0
6170,41,blue-collar,429,yes,no,unknown,may,1,-1,unknown,0,-0.095960386,0
6509,37,services,49,yes,no,unknown,may,2,-1,unknown,0,-0.07505376,1
4004,35,blue-collar,0,yes,yes,cellular,apr,1,-1,unknown,0,-0.04728706,0
7280,62,retired,1495,no,no,cellular,feb,1,-1,unknown,0,-0.092764795,1
2012,33,management,0,yes,no,cellular,jul,3,-1,unknown,0,-0.09436116,0
6105,31,blue-collar,0,yes,yes,cellular,jul,4,-1,unknown,0,-0.04738516,1
5266,37,services,319,yes,no,unknown,jun,3,-1,unknown,0,-0.047628872,1
7740,60,admin,473,no,no,cellular,feb,2,8,other,0,-0.04061923,0
4716,30,management,3779,no,no,cellular,apr,1,-1,unknown,0,-0.09934774,1
4867,41,management,0,no,no,cellular,aug,2,-1,unknown,0,-0.10937395,0
7111,37,technician,141,yes,no,cellular,may,1,364,failure,0,-0.047829967,1
6860,85,retired,1255,no,no,cellular,jan,3,-1,unknown,0,-0.06297877,1
1589,40,unemployed,1077,yes,yes,cellular,nov,2,-1,unknown,0,-0.04870979,0
5323,36,blue-collar,973,yes,yes,unknown,may,1,-1,unknown,0,-0.060108237,0
1128,30,management,944,no,no,cellular,oct,2,-1,unknown,0,-0.085706115,1
937,27,student,538,no,no,cellular,dec,4,197,success,1,0.02407082,1
5634,34,management,757,no,no,cellular,aug,4,-1,unknown,0,-0.10540673,0
325,39,management,3518,yes,no,cellular,may,1,-1,unknown,0,-0.100925066,0
5822,30,self-employed,655,no,no,cellular,sep,4,184,success,0,-0.016602647,1
5533,31,management,477,yes,no,cellular,nov,5,-1,unknown,0,-0.080945246,0
4050,47,blue-collar,113,yes,no,unknown,may,1,-1,unknown,0,-0.09243753,0
6889,47,unemployed,2500,no,no,cellular,jan,1,-1,unknown,0,-0.061984554,0
583,29,blue-collar,7863,yes,no,cellular,may,1,-1,unknown,0,-0.08394365,1
5564,25,services,2311,no,yes,cellular,jul,2,-1,unknown,0,-0.06538805,1
5697,46,admin,70,yes,no,cellular,mar,2,-1,unknown,0,-0.07139001,1
6310,37,unemployed,1978,no,no,cellular,sep,1,182,success,0,-0.03896336,1
4708,34,management,747,no,no,cellular,aug,2,98,failure,0,-0.054755013,0
3107,30,services,117,no,no,cellular,jan,1,-1,unknown,0,-0.072031625,0
6525,39,blue-collar,172,yes,no,cellular,feb,2,183,failure,0,-0.040850595,1
3661,39,technician,1,yes,no,unknown,may,2,-1,unknown,0,-0.088665426,0
7107,38,management,1477,no,no,cellular,sep,3,769,failure,0,-0.007305599,1
742,37,entrepreneur,66,no,no,cellular,nov,2,-1,unknown,0,-0.05788719,1
4237,44,management,-1636,yes,yes,cellular,may,1,-1,unknown,0,-0.068820246,0
931,26,admin,255,no,no,cellular,apr,1,80,success,0,-0.0427869,1
5604,45,admin,3006,no,no,cellular,apr,2,-1,unknown,0,-0.09944905,1
2019,42,blue-collar,7735,yes,no,cellular,apr,1,144,failure,0,-0.029532274,0
6977,31,admin,217,yes,no,cellular,jan,2,-1,unknown,0,-0.07030356,1
3264,56,unemployed,3391,no,no,cellular,apr,1,-1,unknown,0,-0.0699633,1
6000,41,technician,5372,yes,no,cellular,jan,3,-1,unknown,0,-0.06522502,1
7037,50,housemaid,5260,yes,no,cellular,jul,2,-1,unknown,0,-0.063193366,0
3936,72,retired,5715,no,no,cellular,nov,5,184,success,0,-0.004416235,1
5473,57,retired,734,no,no,cellular,aug,4,-1,unknown,0,-0.08091724,1
2744,48,blue-collar,7408,no,yes,cellular,feb,2,-1,unknown,0,-0.061026208,0
6311,52,management,7192,no,no,cellular,aug,1,-1,unknown,0,-0.090390675,1
4511,28,student,153,no,no,cellular,jul,2,-1,unknown,0,-0.062670715,1
627,45,services,608,yes,yes,cellular,may,3,323,failure,1,0.0008006209,1
1347,52,management,1453,no,no,telephone,jul,21,-1,unknown,0,-0.014372343,0
542,37,admin,-65,no,no,cellular,jul,1,-1,unknown,0,-0.0960617,0
5073,25,technician,1231,yes,no,cellular,feb,5,-1,unknown,0,-0.08268522,1
1053,67,management,405,no,no,cellular,nov,2,95,success,0,-0.027279593,1
4028,30,blue-collar,971,yes,no,cellular,apr,1,317,other,0,-0.0073690675,0
7358,51,entrepreneur,0,no,no,unknown,may,3,-1,unknown,0,-0.063752994,0
2928,26,management,943,no,no,cellular,nov,1,195,success,0,-0.041857306,1
2316,30,management,1466,no,no,cellular,aug,4,-1,unknown,0,-0.10133307,0
3589,35,management,331,no,no,cellular,aug,2,-1,unknown,0,-0.103742145,1
563,58,housemaid,497,no,no,unknown,jun,5,-1,unknown,0,-0.043671634,0
3734,32,management,1331,no,no,cellular,nov,1,92,failure,0,-0.041553613,1
6378,40,entrepreneur,3571,no,no,unknown,jun,3,-1,unknown,0,-0.049191542,0
2951,66,retired,1948,no,no,cellular,oct,2,269,failure,0,-0.009826011,1
3491,60,retired,1542,yes,no,unknown,may,1,-1,unknown,0,-0.05324148,1
5273,40,management,0,no,no,cellular,jul,5,-1,unknown,0,-0.095203415,0
7562,40,services,1305,no,no,cellular,jul,1,-1,unknown,0,-0.08909658,0
1489,37,admin,9,yes,no,cellular,may,1,-1,unknown,0,-0.106350765,0
7717,52,admin,484,yes,no,unknown,may,1,-1,unknown,0,-0.08893336,0
1219,37,management,2283,no,no,cellular,aug,2,92,success,0,-0.053624127,1
1724,38,self-employed,1612,yes,no,cellular,may,1,-1,unknown,0,-0.077771075,1
4580,28,blue-collar,-46,yes,no,cellular,jun,2,91,success,0,-0.018228628,1
3559,31,management,518,yes,no,cellular,may,1,-1,unknown,0,-0.101426184,0
6636,29,management,1387,yes,no,cellular,may,2,-1,unknown,0,-0.09508752,1
7175,49,technician,596,yes,no,telephone,sep,1,-1,unknown,0,-0.023143414,1
5422,33,services,2411,yes,no,cellular,oct,1,161,failure,0,-0.025894873,1
2557,34,technician,8,yes,no,cellular,may,2,-1,unknown,0,-0.09882974,0
1763,52,admin,872,yes,no,telephone,may,6,335,other,1,0.028568879,0
6455,50,unknown,558,no,no,cellular,jul,1,683,failure,1,0.002487115,1
2871,40,services,49,no,yes,cellular,jul,1,-1,unknown,0,-0.06484509,0
5818,27,blue-collar,-413,no,yes,unknown,jun,6,-1,unknown,1,0.015921142,1
3721,30,management,552,yes,no,cellular,aug,2,-1,unknown,0,-0.09821479,0
1740,36,management,8564,yes,no,unknown,may,1,-1,unknown,0,-0.07106184,0
2111,33,technician,2976,yes,no,cellular,nov,2,95,other,0,-0.024695363,0
4980,67,retired,1443,no,no,cellular,apr,1,-1,unknown,0,-0.08247061,1
4932,42,technician,13410,no,yes,cellular,aug,2,-1,unknown,0,-0.051425237,0
4447,39,services,636,yes,no,telephone,may,1,-1,unknown,0,-0.064220876,0
606,38,blue-collar,4406,yes,no,telephone,may,2,-1,unknown,0,-0.05055633,1
3005,33,management,3401,no,no,cellular,nov,1,-1,unknown,0,-0.09293395,1
4405,32,blue-collar,760,yes,no,cellular,apr,1,148,other,0,-0.017791722,0
7663,44,technician,1139,yes,no,cellular,jan,1,-1,unknown,0,-0.07317855,0
1684,49,housemaid,889,no,no,telephone,jul,1,-1,unknown,0,-0.03528693,1
696,35,entrepreneur,1859,yes,no,cellular,jul,2,-1,unknown,0,-0.08713671,0
5865,27,admin,592,yes,yes,cellular,feb,3,-1,unknown,0,-0.053416163,0
4199,38,blue-collar,530,yes,no,cellular,apr,3,-1,unknown,0,-0.07920768,0
2924,65,retired,343,no,no,telephone,feb,2,-1,unknown,0,-0.034579076,0
4230,19,student,302,no,no,cellular,jul,1,-1,unknown,0,-0.05878675,1
1966,30,self-employed,916,no,no,cellular,mar,2,90,success,0,-0.01831897,1
4409,33,entrepreneur,300,yes,yes,cellular,jan,5,-1,unknown,0,-0.03345203,1
4729,31,admin,89,no,no,unknown,may,3,-1,unknown,0,-0.081077345,0
4491,28,technician,631,no,no,cellular,apr,7,-1,unknown,0,-0.08040771,0
5753,61,retired,197,no,no,cellular,feb,1,-1,unknown,0,-0.09349468,1
7453,42,technician,-411,yes,no,cellular,jul,3,-1,unknown,0,-0.08610323,0
503,44,services,618,no,no,cellular,may,1,-1,unknown,0,-0.10028869,1
254,40,management,37,yes,no,unknown,may,1,-1,unknown,0,-0.08740508,0
5946,30,technician,289,yes,no,cellular,aug,4,-1,unknown,0,-0.07619224,1
5361,28,management,957,no,no,cellular,may,2,-1,unknown,0,-0.10206978,1
3311,32,technician,129,yes,no,cellular,may,1,-1,unknown,0,-0.09888033,0
2473,46,self-employed,21,no,no,cellular,jul,2,-1,unknown,0,-0.07747818,1
6886,63,entrepreneur,2707,no,no,telephone,nov,4,-1,unknown,0,-0.0012147037,0
4966,33,blue-collar,925,no,no,cellular,nov,3,-1,unknown,0,-0.07847139,0
7618,39,management,0,yes,no,cellular,feb,3,-1,unknown,0,-0.08239643,1
6393,27,student,468,no,no,cellular,feb,2,-1,unknown,0,-0.06519098,0
1699,31,self-employed,17924,yes,no,cellular,nov,3,-1,unknown,0,-0.028242966,0
1057,40,management,1308,no,no,telephone,feb,2,-1,unknown,0,-0.045991816,1
3686,57,blue-collar,3495,no,yes,cellular,nov,3,-1,unknown,0,-0.03923912,0
2523,35,unemployed,154,no,no,cellular,jul,4,181,failure,0,-0.019562881,1
3602,18,student,108,no,no,cellular,aug,1,-1,unknown,0,-0.052692953,1
6361,37,unemployed,1032,no,no,telephone,feb,1,-1,unknown,0,-0.043934245,0
