,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,default,day,duration,previous,deposit
6702,56,unemployed,5769,no,no,unknown,jun,3,-1,other,married,tertiary,no,20,15,0,0
4923,58,services,943,yes,no,unknown,jun,3,-1,other,married,primary,no,3,243,0,0
2557,34,technician,8,yes,no,cellular,may,2,-1,other,divorced,secondary,no,6,569,0,0
5002,40,blue-collar,570,yes,no,unknown,may,3,-1,other,married,primary,no,12,109,0,0
959,69,unemployed,324,no,no,cellular,aug,1,189,success,married,primary,no,12,875,4,0
277,48,services,-139,no,no,cellular,may,2,-1,other,single,primary,no,13,75,0,0
3075,34,services,3119,no,no,cellular,oct,1,-1,other,single,tertiary,no,16,306,0,1
4811,52,blue-collar,955,no,yes,cellular,feb,1,48,success,married,secondary,no,3,153,3,1
4635,57,technician,0,no,no,unknown,jun,8,-1,other,married,primary,no,5,58,0,0
5161,39,technician,1048,yes,yes,cellular,apr,2,-1,other,single,secondary,no,8,201,0,0
2325,30,admin,10,yes,no,cellular,jul,2,-1,other,divorced,secondary,no,18,658,0,1
382,48,self-employed,1559,no,no,cellular,dec,3,133,failure,married,secondary,no,24,520,3,0
6562,36,management,811,no,no,cellular,mar,1,-1,other,single,tertiary,no,6,229,0,1
3167,41,management,223,yes,no,unknown,may,1,-1,other,married,tertiary,no,16,124,0,0
647,52,admin,0,no,no,cellular,aug,4,-1,other,divorced,unknown,no,26,168,0,0
1641,52,services,3283,no,no,unknown,jun,1,-1,other,married,primary,no,11,553,0,0
6563,37,management,2173,no,no,cellular,nov,3,114,failure,single,tertiary,no,21,158,1,0
7635,30,management,156,yes,no,unknown,jun,9,-1,other,single,tertiary,no,9,174,0,0
6887,34,management,520,yes,no,cellular,aug,4,-1,other,married,tertiary,no,12,1307,0,1
636,38,services,2678,no,no,cellular,sep,2,187,success,married,secondary,no,28,282,1,1
188,47,unemployed,312,no,no,cellular,jul,1,-1,other,married,secondary,no,29,884,0,1
5672,28,technician,981,yes,no,cellular,jul,1,-1,other,single,secondary,no,24,225,0,0
7226,46,management,3984,no,no,cellular,aug,2,-1,other,married,tertiary,no,13,77,0,0
6387,50,management,453,no,yes,unknown,jul,1,-1,other,married,tertiary,no,4,608,0,0
7726,25,unemployed,154,no,no,cellular,sep,1,183,success,single,secondary,no,2,382,3,1
5635,28,admin,24,yes,no,cellular,jul,2,-1,other,single,unknown,no,18,415,0,1
37,64,unemployed,1612,no,no,cellular,may,1,89,failure,married,secondary,no,18,336,5,1
5748,33,services,523,yes,no,unknown,may,1,-1,other,single,unknown,no,28,86,0,1
4426,33,management,541,yes,yes,unknown,may,1,-1,other,single,tertiary,no,21,572,0,0
4352,34,management,589,no,no,cellular,apr,2,-1,other,married,tertiary,no,19,125,0,1
632,29,blue-collar,455,no,no,telephone,apr,1,-1,other,single,tertiary,no,21,403,0,1
6054,47,admin,555,yes,yes,telephone,oct,1,-1,other,divorced,secondary,no,17,478,0,1
6069,30,blue-collar,201,yes,no,cellular,aug,1,157,failure,married,primary,no,31,219,12,1
6573,45,admin,149,yes,no,unknown,may,3,-1,other,married,secondary,no,23,893,0,1
2543,46,technician,9299,no,no,cellular,jul,1,276,other,married,secondary,no,19,1148,2,1
2220,47,services,405,no,yes,cellular,aug,2,-1,other,married,secondary,no,8,994,0,1
3759,52,blue-collar,230,yes,no,cellular,may,2,170,failure,married,primary,no,6,198,2,0
7532,35,management,431,no,no,cellular,aug,2,397,failure,single,tertiary,no,17,343,1,1
7613,34,self-employed,7602,no,no,cellular,nov,1,-1,other,married,tertiary,no,20,222,0,0
7079,39,technician,1685,yes,no,cellular,may,1,368,failure,single,secondary,no,8,319,1,0
7803,31,admin,54,yes,no,cellular,nov,1,-1,other,married,secondary,no,21,226,0,0
2093,33,services,908,yes,yes,cellular,jul,2,-1,other,married,primary,no,14,184,0,0
2914,42,management,199,yes,no,cellular,jul,1,-1,other,married,tertiary,no,9,497,0,0
3041,53,technician,6,yes,no,unknown,may,1,-1,other,married,secondary,no,5,517,0,0
7252,40,self-employed,1616,no,no,telephone,jul,7,-1,other,single,tertiary,no,28,1009,0,1
2552,35,management,18111,no,no,cellular,aug,4,-1,other,single,tertiary,no,14,172,0,1
2524,38,blue-collar,132,yes,no,cellular,may,2,-1,other,married,primary,no,14,797,0,0
3589,35,management,331,no,no,cellular,aug,2,-1,other,single,tertiary,no,14,857,0,1
2458,34,technician,2838,yes,no,cellular,may,3,-1,other,single,tertiary,no,13,620,0,1
1739,34,blue-collar,695,yes,yes,unknown,may,4,-1,other,married,primary,no,16,1064,0,1
588,43,entrepreneur,0,no,no,unknown,jun,7,-1,other,married,secondary,no,3,1025,0,1
3678,25,admin,483,no,yes,cellular,apr,1,86,success,single,secondary,no,30,68,1,0
2328,34,management,402,no,no,cellular,may,1,-1,other,married,tertiary,no,26,147,0,0
2601,34,technician,1313,no,no,cellular,apr,4,-1,other,single,secondary,no,19,237,0,0
7145,55,management,505,yes,no,cellular,apr,1,316,other,married,tertiary,no,17,58,1,0
1787,32,self-employed,1942,yes,no,unknown,may,9,-1,other,married,secondary,no,30,84,0,0
3432,40,blue-collar,299,yes,no,cellular,jul,4,-1,other,married,secondary,no,15,180,0,0
3657,48,services,127,no,no,cellular,jul,1,-1,other,married,secondary,no,8,117,0,0
4599,30,management,1567,yes,no,cellular,aug,4,-1,other,married,tertiary,no,12,1133,0,1
3103,34,blue-collar,1924,yes,yes,cellular,apr,2,253,failure,married,secondary,no,1,161,1,0
1359,40,management,406,yes,no,unknown,jun,2,-1,other,married,secondary,no,12,577,0,1
1232,70,unemployed,324,no,no,cellular,aug,1,308,other,married,primary,no,11,632,6,1
2723,32,technician,1097,yes,no,unknown,may,2,-1,other,divorced,secondary,no,12,298,0,0
6025,28,unemployed,67,no,no,cellular,aug,3,199,other,single,secondary,no,20,329,2,1
3695,48,admin,368,no,no,cellular,oct,2,140,success,married,secondary,no,8,363,7,1
1435,33,management,-139,no,no,cellular,jul,1,-1,other,married,tertiary,no,8,290,0,0
3147,35,blue-collar,1147,yes,yes,telephone,may,1,-1,other,single,primary,no,7,29,0,0
5681,47,blue-collar,2749,yes,no,cellular,apr,2,164,failure,married,primary,no,30,774,1,1
3427,55,technician,0,no,no,cellular,jul,2,-1,other,married,secondary,no,27,506,0,0
5739,42,blue-collar,301,yes,no,cellular,jul,2,-1,other,divorced,primary,no,17,1175,0,1
4179,42,technician,-215,no,no,unknown,jun,5,-1,other,married,tertiary,no,20,1573,0,1
3553,34,admin,2374,yes,no,cellular,nov,1,209,failure,married,secondary,no,9,161,2,1
855,50,entrepreneur,816,no,no,cellular,nov,1,-1,other,divorced,tertiary,no,19,630,0,0
4045,30,blue-collar,282,yes,yes,unknown,may,2,-1,other,married,secondary,no,23,148,0,0
3496,50,management,405,no,no,cellular,apr,6,-1,other,divorced,tertiary,no,2,82,0,0
7550,31,self-employed,1134,no,no,cellular,feb,2,-1,other,married,tertiary,no,6,174,0,0
6929,43,management,0,no,no,cellular,jun,2,296,failure,single,tertiary,no,30,275,1,1
2203,23,technician,356,yes,no,cellular,may,2,356,failure,single,secondary,no,18,224,2,0
3269,42,blue-collar,-68,yes,yes,unknown,may,1,-1,other,single,primary,no,26,167,0,0
1490,33,blue-collar,-14,yes,no,cellular,may,2,-1,other,single,secondary,no,14,223,0,0
4272,35,management,2161,no,no,cellular,mar,2,181,success,married,tertiary,no,9,139,3,1
404,22,admin,114,no,no,cellular,mar,1,-1,other,single,secondary,no,30,517,0,1
18,31,technician,863,yes,no,cellular,feb,1,263,success,single,secondary,no,3,146,5,0
5671,29,services,-7,yes,no,cellular,may,3,-1,other,divorced,secondary,no,13,1279,0,1
5986,34,blue-collar,496,yes,no,cellular,may,1,-1,other,married,secondary,no,13,333,0,1
90,32,technician,-114,no,no,cellular,aug,2,-1,other,single,secondary,no,12,155,0,0
5488,39,management,3840,yes,no,cellular,aug,2,-1,other,single,tertiary,no,11,315,0,1
6166,39,blue-collar,1382,yes,no,cellular,aug,1,182,success,married,secondary,no,12,357,2,1
5427,38,blue-collar,-210,yes,no,unknown,may,1,-1,other,married,secondary,no,8,21,0,0
5947,29,self-employed,425,yes,no,unknown,jun,15,-1,other,married,secondary,no,5,562,0,1
5353,33,blue-collar,-253,yes,no,cellular,may,3,-1,other,married,secondary,no,12,89,0,0
5391,51,unemployed,746,no,no,cellular,aug,5,-1,other,married,tertiary,no,25,372,0,1
3202,35,admin,182,yes,no,unknown,jun,1,-1,other,single,secondary,no,3,117,0,0
7575,44,management,3932,yes,no,unknown,may,2,-1,other,divorced,tertiary,no,8,40,0,0
3348,49,blue-collar,23,no,no,cellular,nov,2,-1,other,divorced,secondary,no,17,221,0,0
1125,42,management,238,no,no,cellular,sep,1,-1,other,divorced,tertiary,no,25,692,0,1
1555,30,management,850,no,no,cellular,aug,2,-1,other,married,secondary,no,12,507,0,1
5500,54,management,122,yes,no,cellular,jul,3,-1,other,married,tertiary,no,22,126,0,0
3603,52,technician,204,no,no,cellular,aug,2,-1,other,divorced,secondary,no,7,134,0,0
1383,35,technician,2823,yes,no,cellular,feb,1,-1,other,divorced,secondary,no,2,229,0,0
6777,34,unemployed,309,no,no,cellular,feb,1,-1,other,married,primary,no,5,578,0,1
1985,42,blue-collar,149,yes,no,telephone,jul,3,-1,other,married,unknown,no,23,329,0,0
6754,34,technician,27,yes,no,unknown,may,3,-1,other,divorced,secondary,no,26,133,0,0
41,38,services,110,no,no,cellular,may,1,-1,other,married,secondary,no,25,167,0,0
5429,46,services,296,yes,no,unknown,jun,4,-1,other,married,primary,no,20,205,0,0
3466,34,unemployed,438,yes,yes,cellular,apr,1,323,failure,married,secondary,no,9,272,1,0
6277,29,admin,265,yes,no,cellular,nov,1,184,failure,single,secondary,no,25,414,1,1
7074,39,entrepreneur,-172,yes,no,cellular,may,2,-1,other,married,tertiary,yes,15,562,0,1
813,42,management,72,yes,no,cellular,apr,2,348,failure,married,tertiary,no,20,124,3,0
3207,50,technician,2497,yes,no,cellular,nov,1,176,failure,married,secondary,no,21,35,1,0
1016,37,unemployed,1978,no,no,cellular,mar,1,-1,other,married,secondary,no,11,335,0,1
4984,41,unemployed,0,no,no,cellular,oct,3,-1,other,married,tertiary,no,30,373,0,1
3415,29,admin,266,yes,no,cellular,may,1,-1,other,single,secondary,no,6,540,0,1
7350,29,management,841,no,no,cellular,feb,1,-1,other,single,tertiary,no,5,217,0,0
5753,61,unemployed,197,no,no,cellular,feb,1,-1,other,married,primary,no,17,113,0,1
3950,56,blue-collar,-85,yes,yes,unknown,may,1,-1,other,married,primary,no,26,118,0,0
7795,34,blue-collar,79,no,yes,cellular,nov,1,-1,other,single,secondary,no,20,104,0,0
3594,35,blue-collar,300,yes,no,unknown,may,2,-1,other,divorced,primary,no,13,945,0,1
623,31,admin,97,yes,no,unknown,may,1,-1,other,married,secondary,no,19,607,0,1
3861,57,admin,6005,yes,no,cellular,may,1,323,failure,married,secondary,no,8,704,6,1
6753,51,management,-2282,yes,yes,cellular,jul,6,-1,other,divorced,tertiary,no,14,301,0,0
7402,26,management,1027,no,no,cellular,sep,1,-1,other,single,tertiary,no,23,744,0,1
2532,51,blue-collar,42,yes,no,cellular,may,2,342,failure,married,primary,no,12,51,3,0
4996,28,unemployed,863,yes,yes,unknown,may,1,-1,other,married,secondary,no,27,355,0,0
5493,47,admin,1210,no,no,cellular,oct,1,91,failure,married,secondary,no,26,604,4,1
4870,54,technician,0,no,no,telephone,feb,3,-1,other,married,secondary,no,5,744,0,1
3903,55,management,1504,yes,no,cellular,may,2,-1,other,married,unknown,no,22,338,0,1
6424,28,admin,330,no,no,cellular,jun,2,182,success,married,secondary,no,2,226,4,1
1992,56,unemployed,-1206,yes,no,cellular,jun,2,-1,other,married,secondary,no,15,382,0,1
7040,59,admin,-41,yes,yes,unknown,may,1,-1,other,divorced,secondary,no,20,171,0,0
1452,35,management,8000,no,no,cellular,may,1,90,success,married,tertiary,no,13,331,3,1
4839,29,management,16,yes,no,cellular,jul,6,-1,other,married,tertiary,no,16,605,0,0
2588,58,management,3864,yes,no,cellular,jul,4,-1,other,married,tertiary,no,15,815,0,1
6241,30,services,-158,yes,no,cellular,may,1,370,failure,single,secondary,no,12,426,2,1
1862,32,technician,1212,yes,no,unknown,may,2,-1,other,single,tertiary,no,23,463,0,0
1761,51,admin,658,yes,no,unknown,may,1,-1,other,married,primary,no,14,369,0,0
6342,47,blue-collar,863,yes,no,unknown,may,2,-1,other,married,secondary,no,19,943,0,1
7046,44,admin,262,yes,no,cellular,jul,1,-1,other,married,secondary,no,9,74,0,0
381,38,services,8876,no,no,cellular,feb,1,75,failure,married,secondary,no,2,280,1,0
543,68,unemployed,445,no,no,cellular,feb,1,-1,other,married,secondary,no,18,475,0,1
309,35,admin,0,yes,no,cellular,may,1,-1,other,single,secondary,no,13,1073,0,1
1676,30,self-employed,251,no,no,cellular,jul,1,-1,other,single,tertiary,no,12,537,0,1
6478,32,management,2018,no,no,cellular,aug,1,-1,other,single,secondary,no,11,1238,0,1
2286,46,technician,0,no,no,cellular,nov,1,167,failure,married,tertiary,no,20,531,1,1
1059,44,self-employed,2734,yes,no,cellular,may,4,-1,other,single,tertiary,no,12,897,0,1
2637,42,blue-collar,1673,yes,no,cellular,apr,3,-1,other,married,primary,no,17,636,0,1
2517,33,technician,1699,no,no,cellular,jan,1,83,success,married,tertiary,no,28,202,3,1
3585,26,unemployed,100,no,no,cellular,may,1,-1,other,single,secondary,no,26,445,0,1
963,19,unemployed,329,no,no,cellular,apr,1,190,success,single,secondary,no,30,169,2,1
6784,35,services,1239,yes,no,cellular,may,2,347,failure,single,secondary,no,5,60,1,0
6020,65,unemployed,828,no,no,cellular,jul,1,-1,other,divorced,secondary,no,13,305,0,1
1301,32,management,12,no,no,cellular,jul,1,-1,other,divorced,tertiary,no,17,321,0,0
6741,40,services,795,yes,no,unknown,may,3,-1,other,married,tertiary,no,29,725,0,0
5400,42,blue-collar,349,yes,no,cellular,apr,2,-1,other,married,secondary,no,7,226,0,0
6634,20,unemployed,2785,no,no,cellular,sep,2,-1,other,single,unknown,no,16,327,0,1
3123,57,unemployed,230,no,no,cellular,apr,2,210,failure,married,unknown,no,6,177,3,1
6994,46,services,-119,yes,no,cellular,jul,3,-1,other,married,secondary,no,22,151,0,0
2969,38,services,775,no,no,cellular,feb,3,182,success,married,secondary,no,12,1835,2,1
5995,28,technician,313,no,no,cellular,feb,2,-1,other,single,secondary,no,9,1183,0,1
2956,33,admin,920,no,no,cellular,nov,1,95,failure,married,secondary,no,16,130,2,1
5096,46,technician,0,no,no,cellular,jan,2,-1,other,divorced,tertiary,no,28,1199,0,1
727,33,management,1534,yes,no,cellular,jul,2,-1,other,single,unknown,no,11,1041,0,1
7234,43,management,2067,yes,no,unknown,may,1,-1,other,single,tertiary,no,8,756,0,1
2828,38,management,155,yes,no,unknown,jun,26,-1,other,divorced,tertiary,no,20,25,0,0
2039,26,unemployed,620,no,no,cellular,may,1,94,success,single,secondary,no,22,223,1,1
4176,59,services,1040,no,no,cellular,aug,2,-1,other,married,secondary,no,5,123,0,0
1000,32,management,4945,no,no,cellular,jun,1,119,other,married,tertiary,no,4,160,2,1
6214,54,admin,66,yes,no,cellular,nov,1,-1,other,married,secondary,no,11,167,0,1
704,43,entrepreneur,2315,yes,yes,cellular,may,1,-1,other,married,primary,no,14,42,0,0
102,33,blue-collar,15341,no,no,cellular,apr,1,334,failure,single,secondary,no,20,335,3,0
4509,28,admin,127,no,no,cellular,sep,2,-1,other,single,secondary,no,16,1334,0,1
7005,58,management,1697,no,no,unknown,jun,2,-1,other,married,tertiary,no,20,55,0,0
3705,55,entrepreneur,113,yes,no,unknown,jun,1,-1,other,married,secondary,no,12,186,0,0
819,63,unemployed,1495,no,no,cellular,oct,1,195,other,married,secondary,no,25,389,4,1
4595,74,unemployed,935,no,no,cellular,may,1,99,failure,married,secondary,no,5,226,2,1
4355,57,blue-collar,2112,no,no,cellular,aug,2,-1,other,married,primary,no,12,1134,0,1
879,38,technician,791,yes,no,unknown,may,2,-1,other,divorced,tertiary,no,26,89,0,0
2606,33,management,280,no,yes,cellular,nov,1,-1,other,divorced,tertiary,yes,18,155,0,0
4150,30,management,2876,no,no,cellular,aug,4,-1,other,single,tertiary,no,6,103,0,0
1549,70,unemployed,0,no,no,cellular,sep,1,-1,other,divorced,secondary,no,8,206,0,1
5872,34,admin,66,yes,no,unknown,may,1,-1,other,single,secondary,no,26,237,0,0
5182,41,entrepreneur,0,no,no,unknown,jun,2,-1,other,married,primary,no,16,630,0,0
1161,48,blue-collar,5154,yes,no,unknown,may,1,-1,other,married,primary,no,14,70,0,0
612,34,management,0,yes,yes,cellular,jul,1,-1,other,married,tertiary,no,10,129,0,0
1529,55,services,606,no,yes,cellular,nov,2,-1,other,married,tertiary,no,18,114,0,0
4574,61,unemployed,86,no,no,cellular,oct,1,-1,other,married,secondary,no,23,149,0,1
4269,51,blue-collar,2404,yes,no,telephone,nov,1,-1,other,married,tertiary,no,20,30,0,0
408,28,admin,762,no,no,cellular,sep,3,-1,other,single,secondary,no,18,115,0,1
5677,37,management,427,yes,no,unknown,may,1,-1,other,single,tertiary,no,20,121,0,0
414,40,blue-collar,668,yes,no,cellular,apr,2,318,other,married,secondary,no,17,156,1,0
1114,33,admin,2780,no,no,cellular,nov,1,-1,other,married,unknown,no,19,485,0,1
3356,33,services,-384,yes,no,cellular,jul,1,-1,other,married,secondary,no,9,125,0,0
4542,31,admin,162,yes,no,unknown,may,1,-1,other,single,secondary,no,28,247,0,0
130,43,services,774,no,no,cellular,jun,1,91,success,married,secondary,no,24,482,2,1
7654,32,technician,-1,yes,no,cellular,may,1,-1,other,single,secondary,no,12,37,0,0
2520,50,blue-collar,1064,yes,no,cellular,aug,2,-1,other,married,primary,no,8,31,0,0
5652,39,services,267,no,no,unknown,jun,5,-1,other,married,primary,no,9,1151,0,0
6199,38,admin,0,no,yes,cellular,jul,3,-1,other,divorced,secondary,yes,21,126,0,0
7597,35,management,73,yes,no,unknown,may,2,-1,other,single,secondary,no,28,79,0,0
5320,65,unemployed,276,no,no,cellular,apr,1,-1,other,married,primary,no,22,229,0,1
6617,28,blue-collar,1735,yes,no,cellular,apr,1,-1,other,single,secondary,no,20,89,0,0
5904,43,services,130,yes,no,unknown,may,1,-1,other,divorced,secondary,no,8,193,0,0
1694,50,entrepreneur,223,no,no,cellular,jul,5,-1,other,divorced,tertiary,no,7,264,0,0
3073,44,blue-collar,25,yes,no,cellular,may,3,-1,other,single,secondary,no,12,244,0,0
6114,52,unemployed,293,no,no,unknown,jun,1,-1,other,married,unknown,no,11,706,0,1
1185,53,technician,7984,yes,no,cellular,feb,1,-1,other,married,secondary,no,2,151,0,0
894,60,admin,738,no,no,unknown,may,3,-1,other,married,unknown,no,19,529,0,0
909,49,blue-collar,-98,yes,no,cellular,nov,2,-1,other,married,primary,yes,20,182,0,0
1704,27,services,-195,yes,no,cellular,may,1,-1,other,single,secondary,no,18,391,0,1
5181,41,admin,1967,yes,no,cellular,may,1,341,failure,divorced,secondary,no,18,115,1,0
5768,49,blue-collar,247,no,yes,cellular,jul,1,-1,other,married,primary,no,22,283,0,0
1136,31,technician,636,yes,no,cellular,may,4,-1,other,married,tertiary,no,4,352,0,1
2662,52,blue-collar,5828,yes,no,telephone,may,2,-1,other,married,secondary,no,13,276,0,0
2673,37,management,203,no,no,cellular,oct,1,90,success,married,tertiary,no,21,759,5,1
406,49,technician,808,yes,no,cellular,jan,1,-1,other,married,secondary,no,28,1232,0,1
432,24,management,1030,no,no,cellular,mar,2,-1,other,single,tertiary,no,4,396,0,1
2423,33,technician,3572,yes,no,cellular,nov,2,-1,other,married,secondary,no,18,85,0,0
6688,36,services,78,yes,no,telephone,jul,9,-1,other,married,primary,no,30,2692,0,1
4773,50,self-employed,766,yes,no,cellular,may,2,304,failure,single,secondary,no,7,253,4,0
7215,36,blue-collar,218,yes,no,cellular,may,6,-1,other,married,secondary,no,4,619,0,1
2198,25,entrepreneur,347,no,no,cellular,aug,1,-1,other,single,tertiary,no,20,267,0,1
2371,40,blue-collar,1023,yes,no,cellular,may,5,336,other,married,secondary,no,13,64,11,0
4474,42,management,441,no,no,cellular,aug,9,-1,other,married,tertiary,no,7,296,0,0
4879,62,unemployed,298,no,no,cellular,nov,2,-1,other,married,secondary,no,17,709,0,1
1152,30,unemployed,0,yes,no,cellular,apr,1,-1,other,single,secondary,no,16,137,0,0
2418,25,admin,96,yes,no,unknown,may,2,-1,other,single,secondary,no,9,176,0,0
3183,40,management,4396,no,no,cellular,aug,3,-1,other,married,secondary,no,12,432,0,1
3326,25,management,493,yes,no,unknown,jun,1,-1,other,single,tertiary,no,4,301,0,0
6156,54,services,0,yes,no,cellular,feb,2,267,other,married,unknown,no,5,686,1,1
1360,38,blue-collar,0,no,no,unknown,jun,5,-1,other,married,secondary,no,20,152,0,0
663,31,technician,1819,yes,no,unknown,may,2,-1,other,single,secondary,no,15,226,0,0
4068,53,blue-collar,1004,no,no,cellular,may,1,84,other,single,secondary,no,13,393,1,1
860,31,management,354,no,no,cellular,apr,1,9,success,single,tertiary,no,30,502,2,1
5452,36,blue-collar,1193,no,no,cellular,oct,1,-1,other,married,secondary,no,30,640,0,1
4534,49,blue-collar,6215,yes,no,cellular,may,1,-1,other,married,primary,no,11,549,0,0
7107,38,management,1477,no,no,cellular,sep,3,769,failure,married,tertiary,no,15,385,2,1
3322,35,technician,13460,yes,no,cellular,may,3,-1,other,single,tertiary,no,15,1068,0,1
6570,55,management,2587,no,no,cellular,sep,2,94,success,married,primary,no,4,328,2,1
3777,56,technician,751,yes,no,cellular,may,8,177,failure,single,secondary,no,15,43,5,0
1341,38,entrepreneur,259,no,no,cellular,nov,1,-1,other,married,unknown,no,18,63,0,0
1558,32,technician,0,yes,yes,cellular,may,2,-1,other,single,tertiary,no,13,440,0,1
1610,41,services,0,yes,yes,cellular,jun,2,122,failure,married,secondary,no,4,352,2,1
2469,44,management,1090,no,no,cellular,oct,4,93,success,single,tertiary,no,20,178,6,1
4114,39,blue-collar,167,yes,yes,cellular,may,1,-1,other,married,secondary,no,12,612,0,1
3750,42,management,5310,yes,no,cellular,may,2,186,success,married,primary,no,22,545,1,1
5046,43,technician,6835,no,no,unknown,jun,2,-1,other,divorced,secondary,no,20,262,0,0
322,50,management,-470,yes,no,cellular,nov,2,160,failure,married,tertiary,no,19,130,1,0
87,33,blue-collar,19,yes,no,cellular,feb,1,271,other,married,secondary,no,4,56,1,0
7326,41,services,1583,yes,no,cellular,jul,1,-1,other,divorced,tertiary,no,9,662,0,1
1133,30,services,1808,yes,no,cellular,may,2,-1,other,married,secondary,no,18,83,0,0
1538,33,technician,8023,no,no,cellular,nov,1,105,failure,married,tertiary,no,30,107,3,0
3823,50,entrepreneur,230,no,no,telephone,jul,4,-1,other,married,tertiary,no,30,1089,0,1
5865,27,admin,592,yes,yes,cellular,feb,3,-1,other,single,secondary,no,5,466,0,0
6293,26,admin,-930,yes,no,cellular,may,1,-1,other,single,secondary,yes,14,786,0,1
3811,32,blue-collar,-238,yes,no,unknown,may,1,-1,other,married,secondary,yes,27,427,0,0
6639,79,unemployed,8304,no,no,cellular,dec,2,275,success,married,secondary,no,9,456,9,1
721,30,admin,350,no,yes,cellular,jul,5,-1,other,married,secondary,no,9,171,0,0
5403,44,blue-collar,-448,yes,no,unknown,jun,2,-1,other,married,secondary,no,18,149,0,0
6849,30,blue-collar,246,yes,no,cellular,nov,2,113,failure,married,secondary,no,18,166,5,0
355,36,services,526,yes,no,cellular,apr,2,324,other,married,secondary,no,17,333,1,0
5917,28,services,525,no,no,cellular,jul,1,-1,other,single,secondary,no,23,81,0,0
2510,53,admin,459,no,no,cellular,apr,1,-1,other,married,secondary,no,5,558,0,1
1391,32,technician,6746,no,no,cellular,nov,1,-1,other,single,tertiary,no,11,199,0,1
3966,34,management,355,no,no,cellular,aug,3,-1,other,married,secondary,no,21,314,0,0
5806,41,self-employed,4418,yes,no,cellular,nov,3,-1,other,divorced,tertiary,no,21,855,0,0
6119,50,admin,237,no,yes,telephone,nov,1,-1,other,divorced,secondary,no,5,169,0,1
2207,49,entrepreneur,4976,yes,no,cellular,nov,1,-1,other,married,tertiary,no,21,105,0,0
2898,75,unemployed,3771,no,no,telephone,apr,1,181,success,married,secondary,no,15,185,2,1
1098,60,services,313,yes,no,unknown,may,2,-1,other,single,primary,no,15,920,0,1
5292,31,admin,2,yes,yes,cellular,may,4,-1,other,married,secondary,no,12,703,0,1
6836,30,technician,3286,yes,no,cellular,apr,1,-1,other,single,secondary,no,9,743,0,1
571,55,unemployed,357,yes,no,cellular,aug,1,103,failure,married,tertiary,no,11,526,1,0
3298,57,technician,3043,no,no,cellular,aug,2,-1,other,divorced,secondary,no,14,707,0,1
5397,33,admin,82,yes,no,cellular,jul,1,-1,other,married,secondary,no,25,735,0,1
3805,38,services,1018,no,no,unknown,jun,3,-1,other,married,tertiary,no,16,325,0,0
2711,78,unemployed,4807,no,no,telephone,oct,4,-1,other,married,unknown,no,22,1002,0,1
2924,65,unemployed,343,no,no,telephone,feb,2,-1,other,married,primary,no,5,159,0,0
2411,32,technician,765,yes,yes,cellular,apr,2,-1,other,married,secondary,no,14,850,0,1
3257,47,services,0,yes,no,telephone,jul,1,-1,other,married,secondary,no,9,250,0,0
6922,39,management,363,yes,yes,cellular,jul,1,-1,other,married,secondary,no,17,184,0,0
6751,43,admin,733,yes,no,cellular,aug,1,88,success,single,secondary,no,21,126,4,1
600,32,blue-collar,759,yes,no,cellular,apr,5,-1,other,married,secondary,no,9,317,0,1
7545,28,admin,-126,no,yes,cellular,jul,4,-1,other,single,secondary,no,8,360,0,0
7607,61,technician,6481,no,no,cellular,oct,1,-1,other,divorced,secondary,no,19,131,0,1
4477,32,services,5806,yes,no,cellular,nov,2,-1,other,single,secondary,no,20,1503,0,1
6319,26,admin,710,yes,yes,unknown,jun,2,-1,other,married,secondary,no,6,1276,0,1
4293,41,blue-collar,2823,yes,no,unknown,may,1,-1,other,married,secondary,no,14,858,0,1
673,31,blue-collar,17,yes,no,cellular,may,1,-1,other,single,unknown,yes,6,72,0,0
788,44,admin,40,no,yes,unknown,may,2,-1,other,married,unknown,no,6,160,0,0
6990,83,unemployed,1097,no,no,telephone,mar,1,-1,other,divorced,primary,no,5,181,0,1
6522,40,management,0,yes,no,cellular,mar,2,-1,other,married,tertiary,no,25,506,0,1
3339,30,blue-collar,49,no,no,cellular,jan,2,-1,other,single,secondary,no,30,808,0,1
3296,33,technician,258,no,no,cellular,mar,4,-1,other,single,tertiary,no,12,80,0,1
5928,40,services,473,yes,no,cellular,jul,3,-1,other,married,secondary,no,28,383,0,1
2050,57,management,830,yes,yes,cellular,may,1,367,success,married,tertiary,no,8,662,1,1
3839,33,management,5,yes,no,unknown,may,1,-1,other,divorced,secondary,no,13,1346,0,1
3487,30,unemployed,7529,no,no,cellular,apr,6,183,success,single,tertiary,no,20,175,1,1
438,57,blue-collar,3109,no,no,cellular,jun,2,-1,other,married,primary,no,2,482,0,1
3481,66,unemployed,2326,no,yes,cellular,feb,1,181,success,married,secondary,no,18,232,1,1
3401,35,management,36,no,yes,cellular,jul,5,-1,other,married,tertiary,no,16,1656,0,1
165,46,management,699,no,no,cellular,apr,1,87,failure,married,tertiary,no,30,970,1,1
4267,31,management,1331,no,no,unknown,nov,1,-1,other,married,tertiary,no,5,268,0,1
2046,59,management,0,yes,no,cellular,jul,8,-1,other,divorced,tertiary,no,31,52,0,0
1807,64,unemployed,571,yes,no,cellular,apr,2,-1,other,married,secondary,no,20,1422,0,1
7062,73,unemployed,1388,no,no,cellular,jul,3,190,success,married,primary,no,20,146,3,0
