,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
5727,37,services,1045,no,no,cellular,mar,2,41,failure,1
3570,38,technician,5122,yes,no,cellular,nov,1,184,failure,0
1127,46,technician,1,yes,yes,unknown,may,3,-1,other,0
4320,39,management,2887,yes,no,unknown,may,2,-1,other,0
2941,54,admin,1872,no,no,cellular,feb,5,-1,other,1
3484,33,management,0,yes,no,cellular,mar,1,326,success,1
3047,26,management,45,no,no,cellular,jul,3,-1,other,1
4331,26,unemployed,111,no,no,cellular,jul,1,-1,other,1
5987,48,technician,178,yes,no,unknown,jun,4,-1,other,0
3404,27,services,246,no,no,cellular,jun,2,-1,other,1
694,43,management,1429,yes,no,cellular,may,1,169,success,1
7088,41,management,9,yes,no,cellular,jul,3,-1,other,0
1748,44,blue-collar,0,yes,no,cellular,jul,2,-1,other,0
1984,55,unemployed,2929,no,no,unknown,jun,3,-1,other,0
1859,27,technician,2,yes,yes,cellular,may,2,356,failure,1
7015,38,technician,1478,no,no,cellular,aug,4,-1,other,1
4873,58,management,3342,no,no,cellular,feb,5,-1,other,1
4286,37,admin,1967,no,no,telephone,oct,1,-1,other,1
1840,54,unemployed,390,no,no,cellular,aug,5,-1,other,0
7548,36,technician,368,yes,yes,unknown,may,2,-1,other,1
5007,38,admin,-175,yes,no,telephone,jul,9,-1,other,0
3960,52,blue-collar,7119,no,yes,telephone,nov,3,-1,other,1
2596,31,admin,8784,yes,no,unknown,may,2,-1,other,0
7724,37,management,5106,no,no,cellular,apr,1,-1,other,1
1931,38,technician,0,yes,no,cellular,jul,1,-1,other,1
2897,36,management,649,no,no,cellular,jul,2,91,failure,0
2426,37,technician,197,no,no,cellular,nov,1,200,success,1
1090,40,blue-collar,273,yes,no,unknown,jun,1,-1,other,0
2543,46,technician,9299,no,no,cellular,jul,1,276,other,1
2169,61,unemployed,86,no,no,cellular,jan,1,94,success,1
5049,49,entrepreneur,384,no,no,unknown,jun,1,-1,other,0
7258,39,blue-collar,175,no,no,cellular,may,1,365,other,0
3385,39,management,1914,no,no,cellular,aug,4,-1,other,0
6774,55,services,1563,yes,no,cellular,nov,2,-1,other,0
737,43,blue-collar,0,yes,no,unknown,may,1,-1,other,0
991,43,management,0,no,no,cellular,jul,3,-1,other,1
5941,75,unemployed,6027,no,no,cellular,may,1,179,success,1
3722,46,self-employed,2032,no,no,cellular,jul,2,-1,other,0
5243,35,management,1133,yes,no,cellular,nov,1,-1,other,1
7362,51,management,1937,yes,no,cellular,nov,4,152,other,0
5757,58,management,5701,no,no,cellular,apr,1,87,success,1
4149,39,admin,32,no,yes,unknown,jun,10,-1,other,0
3388,38,blue-collar,2240,yes,no,cellular,nov,1,183,failure,0
406,49,technician,808,yes,no,cellular,jan,1,-1,other,1
131,26,blue-collar,409,yes,no,cellular,jul,2,-1,other,1
4805,56,blue-collar,0,yes,no,cellular,jul,1,-1,other,1
5772,42,technician,2036,yes,no,cellular,nov,2,-1,other,0
6765,33,management,322,yes,no,cellular,apr,3,-1,other,0
5533,31,management,477,yes,no,cellular,nov,5,-1,other,0
6019,53,technician,1982,yes,yes,cellular,nov,1,-1,other,1
947,35,admin,2452,yes,no,unknown,jun,2,-1,other,0
6644,36,blue-collar,0,no,no,unknown,jun,1,-1,other,0
13,53,services,341,no,no,cellular,apr,2,-1,other,1
3641,28,unemployed,1377,yes,no,cellular,may,2,-1,other,1
705,48,blue-collar,623,yes,no,cellular,feb,2,-1,other,1
4376,30,services,140,yes,no,cellular,may,1,-1,other,1
799,49,blue-collar,361,yes,no,unknown,jun,2,-1,other,1
6543,32,technician,514,yes,yes,cellular,may,1,168,failure,0
1135,37,admin,529,yes,no,cellular,sep,1,149,other,0
187,45,technician,2403,no,no,cellular,nov,1,-1,other,0
1923,32,admin,337,no,no,cellular,may,3,368,failure,0
5025,56,unemployed,1110,no,no,cellular,feb,2,-1,other,1
6892,36,management,332,yes,no,cellular,may,7,-1,other,0
7133,48,management,174,no,no,cellular,aug,2,-1,other,0
6498,50,self-employed,202,yes,no,cellular,apr,1,148,failure,0
3510,30,management,364,no,no,cellular,apr,2,-1,other,1
248,35,blue-collar,503,yes,yes,unknown,may,2,-1,other,0
316,41,blue-collar,5517,yes,no,cellular,jul,1,-1,other,1
7655,34,management,8000,no,no,cellular,feb,1,260,failure,1
5763,40,blue-collar,1758,yes,no,unknown,may,3,-1,other,1
4763,41,technician,201,no,yes,cellular,jul,8,-1,other,0
1574,40,self-employed,10346,no,no,cellular,jun,2,207,other,1
67,51,services,7,yes,no,cellular,jul,30,-1,other,0
7793,50,blue-collar,4108,yes,no,cellular,aug,2,-1,other,1
2700,55,blue-collar,49,yes,no,cellular,jul,4,-1,other,1
6141,30,blue-collar,-390,yes,no,cellular,may,1,-1,other,0
5817,29,management,231,no,no,cellular,may,1,14,failure,1
5184,35,entrepreneur,-31,yes,no,cellular,nov,2,-1,other,0
6839,61,management,6016,no,no,cellular,feb,3,-1,other,1
225,30,admin,255,no,no,cellular,jan,1,-1,other,1
4932,42,technician,13410,no,yes,cellular,aug,2,-1,other,0
575,25,admin,220,no,no,cellular,may,1,-1,other,0
4611,38,management,630,no,no,cellular,sep,1,388,other,1
2123,26,admin,141,yes,no,cellular,may,4,349,other,0
2600,49,management,64,no,no,unknown,jun,1,-1,other,1
5099,41,management,11008,no,no,unknown,jun,1,-1,other,1
3650,38,services,322,yes,no,unknown,may,1,-1,other,0
584,35,blue-collar,3623,no,no,telephone,oct,1,-1,other,1
6024,32,technician,127,yes,no,cellular,aug,17,-1,other,0
3985,36,management,673,yes,no,cellular,jul,1,-1,other,1
7593,39,admin,223,no,no,cellular,feb,1,-1,other,0
7563,60,blue-collar,0,yes,no,unknown,may,1,-1,other,1
3276,64,unemployed,630,no,no,cellular,aug,1,-1,other,0
7193,33,services,210,yes,no,cellular,may,2,-1,other,1
2038,35,management,-547,yes,no,cellular,aug,2,-1,other,0
5346,32,technician,705,no,no,cellular,jun,1,-1,other,1
2951,66,unemployed,1948,no,no,cellular,oct,2,269,failure,1
5580,43,management,1258,no,no,unknown,oct,1,-1,other,1
5618,59,unemployed,1625,no,no,cellular,aug,1,180,success,1
5145,32,blue-collar,700,no,no,unknown,nov,1,-1,other,1
5634,34,management,757,no,no,cellular,aug,4,-1,other,0
2316,30,management,1466,no,no,cellular,aug,4,-1,other,0
6604,28,blue-collar,-127,yes,no,cellular,jul,3,-1,other,1
7031,34,management,577,yes,no,cellular,apr,2,153,failure,0
3443,40,management,0,no,no,cellular,aug,2,98,success,1
3345,32,management,927,no,no,cellular,oct,1,-1,other,0
894,60,admin,738,no,no,unknown,may,3,-1,other,0
2416,30,admin,590,no,no,cellular,aug,3,-1,other,0
3422,33,admin,607,no,no,cellular,feb,2,-1,other,1
1061,56,management,830,yes,yes,unknown,may,1,-1,other,1
998,26,blue-collar,895,yes,no,cellular,feb,3,-1,other,0
3890,61,unemployed,3738,no,no,telephone,feb,1,-1,other,0
6094,37,admin,245,yes,yes,unknown,may,2,-1,other,1
4730,53,blue-collar,1103,yes,yes,cellular,feb,2,250,failure,0
1981,26,admin,1595,no,no,cellular,mar,1,-1,other,0
4367,45,self-employed,-497,yes,yes,cellular,nov,1,-1,other,0
6197,28,management,171,no,no,cellular,mar,1,-1,other,1
4699,42,management,1272,yes,no,cellular,may,1,169,failure,0
7775,29,admin,127,yes,yes,cellular,apr,1,-1,other,0
3053,24,blue-collar,327,yes,no,unknown,may,2,-1,other,0
6731,33,technician,5641,no,no,cellular,aug,2,-1,other,0
6477,22,unemployed,1215,no,no,cellular,feb,3,192,failure,1
3144,26,blue-collar,184,no,no,cellular,feb,2,6,other,0
1706,36,services,4721,no,no,cellular,mar,2,90,success,1
4001,28,technician,598,yes,no,cellular,mar,1,288,failure,1
3035,87,unemployed,2190,no,no,telephone,jan,2,-1,other,1
3438,38,blue-collar,468,yes,no,unknown,may,2,-1,other,0
4069,71,unemployed,4380,no,no,cellular,sep,1,-1,other,1
1230,29,services,9,no,yes,cellular,jul,2,-1,other,0
5309,40,services,1547,yes,no,cellular,nov,1,-1,other,1
478,39,admin,6512,no,no,unknown,jun,6,-1,other,0
2902,63,blue-collar,641,no,no,cellular,may,2,-1,other,1
6250,34,management,13014,no,no,cellular,feb,1,183,success,1
7502,47,blue-collar,4709,no,no,cellular,aug,4,-1,other,0
6519,33,entrepreneur,114,no,yes,cellular,jul,3,-1,other,0
224,33,management,2485,yes,no,cellular,nov,2,-1,other,0
2552,35,management,18111,no,no,cellular,aug,4,-1,other,1
6510,26,services,531,yes,yes,cellular,feb,1,-1,other,0
7678,40,blue-collar,0,no,no,cellular,jul,1,-1,other,0
486,67,unemployed,1430,no,no,cellular,jan,2,91,failure,1
4244,65,unemployed,1004,no,no,cellular,oct,1,-1,other,1
7665,36,blue-collar,536,yes,no,cellular,apr,3,-1,other,1
483,35,entrepreneur,1800,yes,no,unknown,jun,1,-1,other,0
5121,41,services,840,yes,no,cellular,feb,1,-1,other,1
6388,59,entrepreneur,1728,no,no,cellular,jul,2,-1,other,0
1996,30,admin,26,yes,no,cellular,apr,1,323,failure,0
3087,31,management,59,yes,yes,cellular,may,2,363,failure,1
58,44,management,0,yes,no,unknown,may,1,-1,other,0
753,56,technician,1181,no,no,cellular,jan,1,433,failure,1
6272,43,blue-collar,1311,yes,no,unknown,may,1,-1,other,0
3525,21,technician,360,no,no,cellular,may,2,-1,other,1
1797,23,admin,252,yes,no,cellular,may,1,-1,other,0
3024,37,unemployed,1085,no,no,cellular,aug,4,-1,other,0
455,32,admin,-241,no,yes,unknown,jun,2,-1,other,1
2464,43,self-employed,66,yes,no,unknown,may,5,-1,other,0
7546,41,self-employed,1,no,no,cellular,aug,4,-1,other,0
1096,49,services,0,no,no,cellular,jul,2,-1,other,1
3312,33,technician,346,yes,yes,cellular,jul,1,-1,other,0
4999,28,unemployed,4465,no,no,cellular,jan,1,-1,other,1
2923,30,management,1384,yes,no,telephone,aug,2,-1,other,0
4278,27,services,453,no,no,cellular,apr,2,-1,other,1
4569,30,technician,1286,no,no,telephone,aug,12,-1,other,0
4627,42,technician,1865,yes,no,unknown,may,1,-1,other,0
5647,42,admin,534,yes,no,unknown,may,2,-1,other,0
4758,39,management,51,no,no,cellular,aug,2,-1,other,0
6325,50,admin,4855,no,no,cellular,aug,2,-1,other,1
7252,40,self-employed,1616,no,no,telephone,jul,7,-1,other,1
482,28,self-employed,3290,no,no,cellular,jun,2,-1,other,1
1661,35,technician,432,no,no,cellular,aug,8,-1,other,0
6045,47,services,1717,no,no,cellular,aug,9,-1,other,0
6759,25,management,943,no,no,cellular,apr,1,-1,other,1
6623,37,technician,0,no,no,unknown,jul,2,-1,other,1
6948,51,blue-collar,1432,no,no,cellular,jul,1,-1,other,0
2661,54,management,1114,yes,no,cellular,nov,2,175,other,0
7445,32,management,1812,no,no,cellular,aug,1,182,other,1
3118,82,unemployed,243,no,no,cellular,jul,1,180,success,1
3866,35,unemployed,415,no,no,cellular,feb,1,176,failure,1
1291,45,entrepreneur,3133,yes,yes,cellular,jul,1,-1,other,1
2368,42,entrepreneur,0,yes,no,cellular,apr,1,140,failure,1
3527,35,technician,354,no,no,cellular,aug,3,-1,other,1
3609,36,technician,571,yes,yes,cellular,jul,3,-1,other,0
336,40,services,694,yes,no,cellular,jul,14,-1,other,0
2489,43,admin,6,no,no,unknown,may,1,-1,other,0
2381,34,management,589,no,no,cellular,sep,1,44,other,1
7383,36,blue-collar,2103,no,yes,unknown,jun,1,-1,other,0
7301,57,blue-collar,3196,no,no,cellular,aug,4,-1,other,0
6097,29,blue-collar,940,yes,yes,cellular,may,1,-1,other,1
2699,56,services,616,no,no,unknown,jun,1,-1,other,0
1221,62,unemployed,0,no,no,cellular,nov,2,-1,other,1
176,50,services,2376,yes,no,cellular,sep,1,-1,other,1
151,55,unemployed,2312,no,no,unknown,jun,1,-1,other,0
7115,35,technician,0,no,no,cellular,jul,2,-1,other,0
4528,47,services,-150,no,no,cellular,aug,4,-1,other,0
4181,77,unemployed,699,no,no,cellular,aug,2,-1,other,1
7094,42,technician,-321,no,no,cellular,jan,2,-1,other,0
2677,37,services,1970,yes,no,telephone,nov,1,-1,other,1
887,55,services,244,yes,no,cellular,may,1,-1,other,0
1689,39,services,410,no,no,unknown,jun,4,-1,other,0
6287,31,services,371,yes,yes,cellular,apr,1,-1,other,0
5407,31,admin,4198,no,no,cellular,nov,1,-1,other,1
1019,38,blue-collar,2008,yes,no,cellular,nov,1,-1,other,0
3986,80,services,0,no,no,cellular,feb,1,189,failure,1
2589,40,blue-collar,1938,yes,no,cellular,may,1,-1,other,0
7336,35,management,1471,yes,yes,cellular,aug,3,-1,other,0
3883,29,unemployed,1584,no,no,cellular,sep,1,-1,other,1
3991,32,unemployed,262,no,no,cellular,jan,1,-1,other,0
4222,34,admin,869,no,no,unknown,may,1,-1,other,1
618,59,unemployed,957,no,no,cellular,mar,1,89,success,1
1217,38,admin,1767,yes,no,cellular,nov,7,-1,other,1
7242,48,blue-collar,48,yes,yes,unknown,may,1,-1,other,0
5645,58,management,5037,yes,no,cellular,nov,2,-1,other,1
6953,35,technician,-89,yes,no,cellular,may,1,368,failure,0
5852,29,technician,2325,no,no,cellular,feb,1,-1,other,1
3225,27,management,145,yes,no,cellular,may,4,89,failure,0
2419,42,entrepreneur,1002,no,no,unknown,jun,3,-1,other,0
3755,40,technician,40,yes,no,cellular,nov,1,-1,other,0
424,68,unemployed,2469,yes,no,telephone,jul,2,-1,other,1
6737,56,unemployed,9367,no,no,cellular,may,2,-1,other,1
2462,44,management,4758,yes,no,cellular,jul,6,-1,other,1
4751,31,blue-collar,1131,yes,yes,cellular,apr,1,148,failure,0
1477,27,management,2648,no,no,cellular,feb,1,-1,other,1
6763,30,admin,482,no,no,cellular,apr,1,-1,other,0
3777,56,technician,751,yes,no,cellular,may,8,177,failure,0
5074,26,blue-collar,5795,yes,no,cellular,may,2,-1,other,1
174,49,services,486,yes,yes,unknown,may,2,-1,other,0
4143,28,blue-collar,1238,yes,no,unknown,may,1,-1,other,0
2065,46,services,38,no,no,cellular,may,3,183,success,1
1116,55,admin,1872,no,no,cellular,aug,2,93,failure,1
5780,40,entrepreneur,0,no,no,unknown,jun,4,-1,other,1
1683,35,blue-collar,0,yes,no,cellular,apr,1,345,other,1
6044,31,technician,2544,no,no,cellular,jul,1,184,success,1
7069,30,blue-collar,239,yes,no,unknown,may,1,-1,other,1
7525,36,management,4069,no,no,cellular,nov,1,-1,other,1
5009,53,services,3107,no,no,unknown,jun,1,-1,other,0
5550,44,admin,10905,no,no,cellular,aug,2,271,other,1
6840,34,technician,920,yes,no,cellular,oct,1,342,failure,0
69,65,unemployed,1948,no,no,cellular,feb,2,-1,other,0
1779,50,blue-collar,383,no,no,telephone,oct,2,-1,other,0
3567,46,technician,0,no,no,unknown,jun,1,-1,other,0
3846,37,blue-collar,-97,yes,no,unknown,jun,2,-1,other,0
5824,32,management,2069,no,no,cellular,apr,1,-1,other,1
6049,60,technician,11262,no,no,cellular,aug,1,-1,other,1
2733,30,admin,4,no,no,unknown,jun,2,-1,other,0
2011,62,management,0,no,no,cellular,apr,3,182,failure,0
5575,46,management,0,no,no,cellular,nov,2,110,other,1
5153,41,services,1319,yes,no,cellular,may,1,-1,other,0
6579,50,blue-collar,388,no,no,cellular,feb,1,-1,other,0
262,37,blue-collar,0,yes,no,cellular,apr,1,-1,other,0
7010,36,blue-collar,2235,yes,no,cellular,nov,2,-1,other,0
615,49,blue-collar,259,no,no,unknown,may,2,-1,other,0
278,29,unemployed,5,no,no,cellular,jul,5,-1,other,1
1228,26,unemployed,3247,no,no,telephone,feb,3,-1,other,0
5271,53,management,7067,no,no,unknown,jun,3,-1,other,0
5653,31,self-employed,322,yes,no,unknown,may,1,-1,other,0
1844,34,management,271,yes,no,cellular,feb,1,94,success,1
6289,49,services,66,yes,yes,cellular,nov,4,-1,other,0
5067,45,technician,441,yes,no,cellular,feb,1,-1,other,0
5736,40,management,2487,no,no,cellular,apr,1,-1,other,0
1147,40,management,0,yes,no,cellular,feb,1,-1,other,0
6410,44,blue-collar,1529,yes,no,cellular,apr,1,-1,other,1
6788,37,technician,1580,no,no,cellular,aug,12,-1,other,0
1846,51,management,1610,yes,no,unknown,jun,3,-1,other,1
3403,40,technician,1871,yes,no,cellular,nov,1,-1,other,0
2272,38,services,4017,no,no,cellular,aug,1,96,success,1
6282,31,admin,728,yes,yes,cellular,may,1,352,failure,0
3541,23,services,31,no,no,cellular,jun,1,-1,other,1
3470,46,admin,1342,yes,no,cellular,feb,1,-1,other,0
4015,32,technician,930,yes,no,unknown,may,1,-1,other,0
4455,36,services,0,yes,no,cellular,may,1,-1,other,0
1971,31,management,1164,yes,yes,cellular,jul,3,-1,other,0
6186,60,unemployed,1047,no,no,cellular,may,3,279,success,1
3167,41,management,223,yes,no,unknown,may,1,-1,other,0
1904,33,services,7,yes,no,unknown,may,1,-1,other,0
3730,30,self-employed,192,no,no,cellular,jul,1,-1,other,0
604,56,services,191,no,no,cellular,jul,3,-1,other,0
2435,33,blue-collar,870,no,yes,cellular,jul,3,-1,other,0
420,39,services,1179,no,no,cellular,may,1,-1,other,1
2950,54,unemployed,-152,yes,yes,unknown,may,11,-1,other,0
7185,36,management,-633,yes,no,cellular,jul,1,-1,other,0
519,36,blue-collar,828,no,no,cellular,may,1,345,failure,1
4231,34,blue-collar,2308,yes,no,unknown,may,1,-1,other,0
1669,43,admin,1996,no,yes,cellular,jul,3,-1,other,0
630,46,technician,3308,no,no,cellular,oct,1,91,success,1
1266,36,management,1373,yes,no,unknown,may,2,-1,other,0
1671,57,admin,403,yes,no,cellular,may,1,340,other,1
1721,31,blue-collar,953,yes,no,cellular,may,1,346,success,1
4780,56,management,2333,no,no,cellular,may,1,-1,other,1
5073,25,technician,1231,yes,no,cellular,feb,5,-1,other,1
5428,34,admin,-33,yes,yes,cellular,jul,1,-1,other,1
1718,42,admin,527,no,yes,cellular,apr,1,-1,other,1
4670,55,management,1433,no,no,unknown,jun,3,-1,other,0
5678,53,unemployed,303,yes,no,unknown,may,2,-1,other,0
4583,53,admin,3765,no,no,unknown,jun,3,-1,other,1
6229,55,unemployed,1436,yes,no,cellular,feb,2,-1,other,0
741,56,technician,23,no,no,cellular,nov,3,-1,other,1
5292,31,admin,2,yes,yes,cellular,may,4,-1,other,1
1793,27,management,6791,no,no,cellular,aug,2,69,other,1
241,40,admin,1412,no,no,cellular,jul,3,-1,other,0
437,71,unemployed,2600,no,no,cellular,nov,2,98,success,1
4430,38,blue-collar,0,no,no,cellular,aug,2,105,failure,0
6651,37,technician,0,no,no,unknown,jun,1,-1,other,0
758,30,blue-collar,1012,yes,no,cellular,apr,3,329,failure,0
1005,46,management,0,yes,no,cellular,jul,2,-1,other,0
6928,66,unemployed,995,no,no,cellular,feb,2,-1,other,1
7005,58,management,1697,no,no,unknown,jun,2,-1,other,0
675,28,management,12,yes,no,cellular,sep,1,-1,other,1
61,46,technician,874,no,no,cellular,nov,3,-1,other,1
2327,43,management,1429,yes,no,cellular,nov,1,198,other,1
5923,37,blue-collar,10721,yes,no,unknown,jun,3,-1,other,0
4508,52,admin,361,no,yes,cellular,nov,1,-1,other,0
4581,37,management,80,no,no,cellular,aug,3,-1,other,0
5728,45,management,4831,no,no,cellular,jan,11,-1,other,1
7184,37,technician,1211,yes,no,unknown,may,1,-1,other,1
291,42,admin,-249,yes,no,cellular,jul,3,-1,other,0
5328,60,technician,316,no,no,cellular,may,2,263,failure,1
3744,78,unemployed,631,no,no,telephone,aug,1,-1,other,0
7019,36,admin,1815,no,no,unknown,jun,1,-1,other,0
1366,28,blue-collar,708,yes,no,unknown,jun,5,-1,other,0
5954,65,management,90,yes,no,cellular,apr,1,-1,other,1
4423,41,blue-collar,943,yes,no,unknown,may,3,-1,other,0
1553,42,entrepreneur,46,no,no,cellular,feb,1,-1,other,0
3513,30,unemployed,7105,no,no,cellular,dec,2,-1,other,1
1162,50,unemployed,1088,no,no,cellular,feb,1,-1,other,1
5568,36,management,928,yes,no,cellular,apr,1,-1,other,0
7781,55,admin,602,no,no,cellular,jun,3,90,success,1
4966,33,blue-collar,925,no,no,cellular,nov,3,-1,other,0
7557,55,unemployed,1212,no,no,cellular,aug,1,92,failure,0
820,26,services,77,yes,no,cellular,may,1,340,failure,1
370,35,technician,5724,yes,no,unknown,may,10,-1,other,1
2392,49,technician,550,yes,no,unknown,jun,2,-1,other,0
5795,59,blue-collar,337,no,no,unknown,jun,4,-1,other,0
1021,36,management,254,no,no,cellular,feb,2,-1,other,1
6261,46,blue-collar,804,yes,no,cellular,may,2,361,success,1
5135,46,management,16,yes,no,cellular,may,1,-1,other,0
3673,28,technician,1628,yes,no,cellular,jul,2,-1,other,1
3015,27,blue-collar,3145,no,no,cellular,jun,1,179,success,1
5741,27,technician,7102,yes,no,unknown,may,9,-1,other,0
3468,30,management,162,yes,no,unknown,may,4,-1,other,0
5051,24,blue-collar,1033,yes,no,cellular,nov,1,-1,other,0
6090,46,services,273,no,no,cellular,aug,2,-1,other,1
1608,39,management,710,yes,no,cellular,jul,2,-1,other,0
3305,57,management,0,no,no,cellular,mar,1,-1,other,0
6550,56,management,870,no,no,cellular,may,1,179,success,1
922,41,management,0,yes,no,cellular,nov,3,-1,other,1
1974,39,blue-collar,0,yes,no,cellular,may,2,307,other,0
540,44,management,7818,no,no,cellular,may,1,-1,other,1
267,32,technician,599,no,no,cellular,nov,1,-1,other,0
5994,51,management,-3,no,no,cellular,aug,2,-1,other,0
3416,48,services,513,no,yes,cellular,jul,3,-1,other,1
3163,32,self-employed,286,yes,no,cellular,aug,1,-1,other,0
5291,58,unemployed,269,yes,no,unknown,may,2,-1,other,0
2491,42,management,1243,no,no,cellular,aug,4,-1,other,1
193,43,blue-collar,184,no,yes,cellular,jul,11,-1,other,1
1668,30,services,0,yes,no,cellular,nov,4,-1,other,1
2243,49,technician,2585,no,no,unknown,jun,1,-1,other,0
1351,25,unemployed,129,no,no,cellular,apr,3,-1,other,1
2481,33,management,588,yes,no,cellular,may,5,-1,other,0
4118,59,services,88,yes,no,cellular,jul,5,-1,other,0
4465,66,technician,0,no,no,cellular,feb,1,-1,other,1
7506,55,technician,3450,no,no,cellular,feb,1,183,failure,1
3187,34,technician,23076,no,no,cellular,may,2,35,other,1
7129,42,technician,473,yes,no,cellular,jul,5,-1,other,0
3529,56,admin,360,yes,yes,cellular,jul,2,-1,other,0
5104,27,services,167,no,yes,cellular,jul,2,-1,other,0
6342,47,blue-collar,863,yes,no,unknown,may,2,-1,other,1
4883,31,technician,109,yes,no,unknown,may,1,-1,other,0
7276,43,management,1379,yes,no,unknown,may,3,-1,other,0
880,47,admin,683,no,no,cellular,nov,1,-1,other,0
6505,39,management,224,no,no,cellular,jul,2,88,success,1
1602,37,admin,3221,no,no,cellular,jun,2,376,other,1
1091,28,technician,2489,yes,no,telephone,feb,2,-1,other,1
781,34,admin,384,yes,no,cellular,may,2,-1,other,0
5716,43,admin,132,no,no,cellular,aug,1,84,success,1
5720,44,admin,1074,yes,no,cellular,jul,2,-1,other,1
10,23,unemployed,1234,no,no,cellular,feb,1,91,success,1
1620,42,blue-collar,3,yes,no,unknown,may,1,-1,other,0
1276,38,management,547,yes,no,unknown,may,4,-1,other,0
7559,43,services,4216,no,no,cellular,dec,2,195,success,1
144,32,entrepreneur,1996,yes,no,cellular,nov,1,-1,other,0
3085,48,management,700,yes,no,cellular,aug,2,-1,other,0
6218,47,management,0,no,no,cellular,aug,2,-1,other,0
161,30,technician,0,no,no,cellular,aug,2,-1,other,0
4855,61,blue-collar,1428,yes,no,unknown,may,2,-1,other,0
4995,44,admin,1696,no,no,unknown,jun,3,-1,other,0
4727,59,self-employed,2013,no,no,cellular,nov,2,-1,other,1
42,34,blue-collar,0,yes,no,cellular,may,1,-1,other,0
3213,55,unemployed,357,yes,no,cellular,apr,1,-1,other,0
4385,27,unemployed,93,no,no,unknown,oct,1,-1,other,0
7679,30,entrepreneur,732,no,no,cellular,feb,4,-1,other,1
1323,21,blue-collar,2265,no,no,cellular,may,4,99,success,0
6194,25,blue-collar,1857,yes,no,cellular,jul,2,91,success,1
2396,62,unemployed,800,no,no,cellular,feb,1,-1,other,1
2340,45,admin,67,no,no,cellular,feb,2,-1,other,0
4720,34,blue-collar,34,no,no,cellular,jan,1,-1,other,0
4748,57,services,84,yes,no,unknown,may,1,-1,other,0
4068,53,blue-collar,1004,no,no,cellular,may,1,84,other,1
560,28,blue-collar,455,yes,no,cellular,jul,1,-1,other,0
6693,35,services,1015,yes,no,unknown,jun,2,-1,other,1
3574,46,admin,1544,yes,no,unknown,may,1,-1,other,0
1862,32,technician,1212,yes,no,unknown,may,2,-1,other,0
1124,27,blue-collar,567,no,no,cellular,nov,2,184,success,1
3580,42,technician,314,yes,no,unknown,oct,1,-1,other,1
933,51,technician,-1944,yes,no,cellular,may,1,-1,other,1
752,32,technician,932,yes,no,cellular,apr,1,318,failure,1
7549,60,management,474,no,no,cellular,aug,5,186,other,1
3332,52,blue-collar,331,no,no,cellular,aug,4,-1,other,0
7020,58,unemployed,2714,no,no,cellular,may,1,287,failure,1
6350,27,admin,138,no,no,cellular,jun,2,-1,other,1
7742,32,blue-collar,1076,yes,no,unknown,may,1,-1,other,0
7214,58,admin,0,yes,no,cellular,nov,1,186,failure,0
2307,29,unemployed,1311,no,no,cellular,aug,1,-1,other,1
5157,32,admin,1604,no,yes,cellular,jul,1,-1,other,1
7180,24,blue-collar,476,yes,no,unknown,jun,1,-1,other,0
3482,48,blue-collar,316,no,no,unknown,jun,2,-1,other,0
1868,60,unemployed,957,no,no,cellular,sep,1,184,success,1
1385,27,blue-collar,-208,yes,no,unknown,may,2,-1,other,0
6902,31,services,414,yes,no,unknown,may,1,-1,other,0
5467,29,blue-collar,922,yes,no,cellular,may,1,-1,other,0
4662,40,blue-collar,0,yes,no,unknown,may,4,-1,other,0
2181,40,blue-collar,665,yes,no,cellular,jul,1,-1,other,1
3228,38,management,328,no,no,cellular,aug,2,-1,other,0
4156,53,technician,476,yes,no,cellular,jan,1,-1,other,0
2645,33,blue-collar,89,yes,no,cellular,jul,2,-1,other,1
4363,38,management,3436,no,no,cellular,nov,4,-1,other,1
6941,25,services,12,no,no,cellular,jun,6,-1,other,1
4413,34,technician,513,yes,no,cellular,may,3,169,other,0
2532,51,blue-collar,42,yes,no,cellular,may,2,342,failure,0
2878,39,technician,4101,yes,no,cellular,feb,2,264,other,1
4477,32,services,5806,yes,no,cellular,nov,2,-1,other,1
369,49,management,350,no,no,cellular,aug,6,-1,other,0
6809,47,services,1639,no,no,cellular,jan,1,-1,other,1
6533,54,technician,3994,no,yes,cellular,oct,2,187,success,1
3963,28,management,882,no,yes,cellular,jul,2,-1,other,0
5578,43,admin,132,no,no,cellular,mar,1,-1,other,1
6548,34,admin,35,yes,no,cellular,oct,1,69,failure,0
5288,52,technician,523,yes,yes,cellular,jul,1,-1,other,0
378,47,admin,70,yes,no,cellular,apr,4,374,success,1
7576,31,services,459,yes,no,cellular,may,1,293,success,1
1867,46,management,-130,yes,no,cellular,mar,2,-1,other,1
4229,37,management,630,no,no,cellular,apr,1,87,success,1
3624,58,services,1310,yes,yes,cellular,jul,2,-1,other,0
3230,44,blue-collar,1397,no,no,cellular,nov,1,-1,other,0
5531,33,self-employed,94,yes,no,cellular,may,2,-1,other,1
1561,93,unemployed,775,no,no,cellular,jul,2,177,success,1
2122,47,blue-collar,2787,no,no,cellular,aug,1,-1,other,1
2469,44,management,1090,no,no,cellular,oct,4,93,success,1
583,29,blue-collar,7863,yes,no,cellular,may,1,-1,other,1
1813,38,admin,47,yes,no,cellular,may,5,-1,other,1
